number,code,description
2,WCBS,CBS 2 New York
4,WNBC,NBC 4 New York
5,WNYW,FOX 5 New York
7,WABC,ABC 7 New York
9,WWOR,My 9 New York
11,WPIX,CW 11 New York
13,WNET,THIRTEEN PBS
21,WLIW,WLIW 21 PBS
25,WNYE,NYC Life 25
31,WPXN,ION Television New York
41,WXTV,Univision 41 Nueva York
47,WNJU,Telemundo 47 New York
55,WLNY,WLNY 55 Long Island
68,WFUT,UniMás 68 Newark
75,NJTV,NJ PBS Newark
70,HSN,HSN
71,QVC,QVC
73,QVC3,QVC3
82,FETV,FETV
83,JTV,JTV
85,EPIC,EPIC
91,BVWST,BVWST
96,BVF&L,BVF&L
105,USA,USA
106,TVLND,TVLND
107,CMDY,CMDY
108,LIFE,LIFE
109,LMN,LMN
110,FOOD,FOOD
112,HGTV,HGTV
113,COOK,COOK
114,E!,E!
115,HOLLY,HOLLY
117,POP,POP
118,A&E,A&E
120,HIST,HIST
122,SYFY,SYFY
125,FXX,FXX
126,SUND,SUND
128,WE,WE
129,BRAVO,BRAVO
130,HDNMV,HDNMV
131,AMC,AMC
133,IFC,IFC
136,FX,FX
138,TNT,TNT
139,TBS,TBS
140,ESPN,ESPN
141,ESPNU,ESPNU
142,ESNWS,ESNWS
143,ESPN2,ESPN2
150,FOXS1,FOXS1
153,MLBSZ,MLBSZ
154,NFL,NFL
155,NFLRZ,NFLRZ
160,MTV,MTV
161,MTV2,MTV2
162,VH1,VH1
164,FUSE,FUSE
165,GFAM,GFAM
166,CMT,CMT
167,AXS,AXS
170,NICK,NICK
171,NICKW,NICKW
172,DISE,DISE
173,DISW,DISW
176,TOON,TOON
177,TOONW,TOONW
180,FRFM,FRFM
182,DISC,DISC
183,TLC,TLC
184,APL,APL
187,HMYS,HMYS
192,ID,ID
196,TRV,TRV
197,NTGEO,NTGEO
200,CNN,CNN
202,HLN,HLN
205,FXNWS,FXNWS
206,FOXB,FOXB
207,NWSNA,NWSNA
208,CNBC,CNBC
209,MSNBC,MSNBC
210,CSPAN,CSPAN
211,CSPN2,CSPN2
212,OAN,OAN
215,WN,WN
216,NEWSX,NEWSX
217,GRIT,GRIT
222,FOXWE,FOXWE
226,HSN2,HSN2
232,COWBY,COWBY
233,COWGL,COWGL
